"gliderName","oceName"
"Altitude","altitude"
"AngCmd","angleCmd"
"AngPos","anglePos"
"AROD_FT_DO","oxygen"
"AROD_FT_TEMP","oxygenTemperature"
"BallastCmd","ballastCmd"
"BallastPos","ballastPos"
"DeadReckoning","deadReckoning"
"Declination","declination"
"Depth","depth"
"DesiredH","desiredHeading"
"FLBBCD_BB_700_COUNT","backscatterCount"
"FLBBCD_BB_700_SCALED","backscatter"
"FLBBCD_CDOM_COUNT","cdomCount"
"FLBBCD_CDOM_SCALED","cdom"
"FLBBCD_CHL_COUNT","chlorophyllCount"
"FLBBCD_CHL_SCALED","chlorophyll"
"GPCTD_CONDUCTIVITY","conductivity"
"GPCTD_DOF","oxygenFrequency"
"GPCTD_PRESSURE","pressure"
"GPCTD_TEMPERATURE","temperature"
"Heading","heading"
"Lat","latitude"
"LEGATO_CONDTEMP","conductivityTemperature"
"LEGATO_CONDUCTIVITY","conductivity"
"LEGATO_PRESSURE","pressure"
"LEGATO_SALINITY","salinity"
"LEGATO_TEMPERATURE","temperature"
"LinCmd","lineCmd"
"LinPos","linePos"
"Lon","longitude"
"NAV_DEPTH","pressureNav"
"NAV_LATITUDE","latitude"
"NAV_LONGITUDE","longitude"
"NAV_RESOURCE","navState"
"NavState","navState"
"Pa","pressureAir"
"Pitch","pitch"
"PLD_REALTIMECLOCK","time"
"Roll","roll"
"SecurityLevel","securityLevel"
"Temperature","temperature"
"Timestamp","timestamp"
"Voltage","voltage"
"X","X"
